skill1,skill2,value,type
Staff Development,Autism Spectrum Disorders,4,h-h
Staff Development,Learning Disabilities,4,h-h
Staff Development,Special Education,8,h-h
Staff Development,Differentiated Instruction,8,h-h
Staff Development,Behavior Management,4,h-l
Staff Development,Literacy,4,h-l
Teaching,Learning Disabilities,4,h-h
Teaching,Special Education,8,h-h
Teaching,Differentiated Instruction,8,h-h
Teaching,Behavior Management,4,h-l
Teaching,Literacy,4,h-l
Educational Leadership,Autism Spectrum Disorders,4,h-h
Learning Disabilities,Educational Leadership,4,h-h
Special Education,Educational Leadership,8,h-h
Educational Leadership,Differentiated Instruction,8,h-h
Educational Leadership,Behavior Management,4,h-l
Literacy,Educational Leadership,4,l-h
Educational Technology,Autism Spectrum Disorders,4,h-h
Learning Disabilities,Educational Technology,4,h-h
Special Education,Educational Technology,8,h-h
Educational Technology,Differentiated Instruction,8,h-h
Educational Technology,Behavior Management,4,h-l
Literacy,Educational Technology,4,l-h
Elementary Education,Autism Spectrum Disorders,4,h-h
Learning Disabilities,Elementary Education,4,h-h
Special Education,Elementary Education,4,h-h
Elementary Education,Differentiated Instruction,4,h-h
Elementary Education,Behavior Management,4,h-l
Literacy,Elementary Education,4,l-h
Teacher Training,Autism Spectrum Disorders,4,h-h
Teacher Training,Learning Disabilities,4,h-h
Teacher Training,Special Education,8,h-h
Teacher Training,Differentiated Instruction,8,h-h
Teacher Training,Behavior Management,4,h-l
Teacher Training,Literacy,4,h-l
Tutoring,Autism Spectrum Disorders,4,h-h
Tutoring,Learning Disabilities,4,h-h
Tutoring,Special Education,4,h-h
Tutoring,Differentiated Instruction,4,h-h
Tutoring,Behavior Management,4,h-l
Tutoring,Literacy,4,h-l
Differentiated Instruction,Autism Spectrum Disorders,4,h-h
Behavior Management,Autism Spectrum Disorders,4,l-h
Literacy,Autism Spectrum Disorders,4,l-h
Learning Disabilities,Differentiated Instruction,4,h-h
Learning Disabilities,Behavior Management,4,h-l
Literacy,Learning Disabilities,4,l-h
Special Education,Differentiated Instruction,8,h-h
Special Education,Behavior Management,4,h-l
Special Education,Literacy,4,h-l
Differentiated Instruction,Behavior Management,4,h-l
Literacy,Differentiated Instruction,4,l-h
Literacy,Behavior Management,4,l-l
Microsoft Office,Architectural Design,6,h-h
Microsoft Office,Architecture,6,h-h
Microsoft Office,Architectures,4,h-h
Microsoft Office,Comprehensive Planning,6,h-h
Microsoft Office,Design Research,4,h-h
Microsoft Office,Interior Design,4,h-h
Mixed-use,Microsoft Office,6,h-h
Revit,Microsoft Office,8,h-h
SketchUp,Microsoft Office,6,h-h
Sustainable Design,Microsoft Office,6,h-h
Urban Design,Microsoft Office,6,h-h
Microsoft Office,Architectural Drawings,6,h-h
Microsoft Office,AutoCAD Architecture,6,h-h
Sketching,Microsoft Office,4,h-h
Residential Design,Microsoft Office,4,h-h
Model Making,Microsoft Office,4,h-h
AutoCAD,Architectures,14,h-h
Comprehensive Planning,AutoCAD,14,h-h
Model Making,AutoCAD,4,h-h
InDesign,Architectures,4,h-h
InDesign,Comprehensive Planning,4,h-h
Model Making,InDesign,4,h-h
Photoshop,Architectures,14,h-h
Photoshop,Comprehensive Planning,14,h-h
Photoshop,Model Making,4,h-h
Architectures,Architectural Design,16,h-h
Comprehensive Planning,Architectural Design,14,h-h
Sketching,Architectural Design,4,h-h
Residential Design,Architectural Design,4,h-h
Model Making,Architectural Design,4,h-h
Architectures,Architecture,16,h-h
Comprehensive Planning,Architecture,14,h-h
Sketching,Architecture,4,h-h
Residential Design,Architecture,4,h-h
Model Making,Architecture,4,h-h
Comprehensive Planning,Architectures,14,h-h
Design Research,Architectures,14,h-h
Interior Design,Architectures,14,h-h
Mixed-use,Architectures,14,h-h
Revit,Architectures,14,h-h
SketchUp,Architectures,14,h-h
Sustainable Design,Architectures,14,h-h
Urban Design,Architectures,14,h-h
Architectures,Architectural Drawings,4,h-h
AutoCAD Architecture,Architectures,4,h-h
Sketching,Architectures,4,h-h
Residential Design,Architectures,4,h-h
Model Making,Architectures,4,h-h
Design Research,Comprehensive Planning,14,h-h
Interior Design,Comprehensive Planning,14,h-h
Mixed-use,Comprehensive Planning,16,h-h
Revit,Comprehensive Planning,14,h-h
SketchUp,Comprehensive Planning,14,h-h
Sustainable Design,Comprehensive Planning,14,h-h
Urban Design,Comprehensive Planning,16,h-h
Comprehensive Planning,Architectural Drawings,4,h-h
Comprehensive Planning,AutoCAD Architecture,4,h-h
Sketching,Comprehensive Planning,4,h-h
Residential Design,Comprehensive Planning,4,h-h
Model Making,Comprehensive Planning,4,h-h
Model Making,Design Research,4,h-h
Model Making,Interior Design,4,h-h
Sketching,Mixed-use,4,h-h
Residential Design,Mixed-use,4,h-h
Model Making,Mixed-use,4,h-h
Revit,Model Making,4,h-h
SketchUp,Model Making,4,h-h
Sustainable Design,Model Making,4,h-h
Urban Design,Sketching,4,h-h
Urban Design,Residential Design,4,h-h
Urban Design,Model Making,4,h-h
Sketching,Architectural Drawings,4,h-h
Residential Design,Architectural Drawings,4,h-h
Model Making,Architectural Drawings,4,h-h
Sketching,AutoCAD Architecture,4,h-h
Residential Design,AutoCAD Architecture,4,h-h
Model Making,AutoCAD Architecture,4,h-h
Sketching,Model Making,6,h-h
Residential Design,Model Making,4,h-h
Employee Relations,CRM,2,h-h
Inventory Management,Employee Relations,2,h-h
SAP,Employee Relations,2,h-h
Negotiation,Employee Relations,2,h-h
Employee Relations,Email Marketing,2,h-h
Inventory Management,Human Resources,6,h-h
SAP,Human Resources,2,h-h
Human Resources,Email Marketing,2,h-h
Microsoft Word,CRM,10,h-h
SAP,Microsoft Word,4,h-h
Microsoft Word,Email Marketing,2,h-h
Team Leadership,Email Marketing,2,h-h
Teamwork,Email Marketing,2,h-h
Time Management,CRM,10,h-h
Time Management,Email Marketing,2,h-h
Project Management,Email Marketing,6,h-h
Training,SAP,4,h-h
Training,Email Marketing,2,h-h
Inventory Management,CRM,2,h-h
SAP,CRM,2,h-h
Email Marketing,CRM,24,h-h
Inventory Management,Email Marketing,2,h-h
SAP,Recruiting,2,h-h
SAP,Negotiation,8,h-h
SAP,Email Marketing,2,h-h
Recruiting,Email Marketing,2,h-h
Negotiation,Email Marketing,4,h-h
Customer Service,3G,4,h-h
Leadership,3G,4,h-h
Management,3G,4,h-h
Microsoft Excel,Contract Management,22,h-h
Microsoft Excel,3G,4,h-h
Microsoft Office,3G,4,h-h
Research,Contract Management,10,h-h
Research,3G,4,h-h
Team Leadership,3G,4,h-h
Telecommunications,Team Leadership,22,h-h
Project Management,3G,8,h-h
Construction,Analysis,4,h-h
Analysis,3G,4,h-h
Telecommunications,Analysis,8,h-h
Marketing,Construction,22,h-h
Marketing,Contract Management,22,h-h
Marketing,3G,4,h-h
Telecommunications,Marketing,6,h-h
Strategic Planning,3G,4,h-h
Budgets,3G,4,h-h
Telecommunications,Budgets,6,h-h
Logistics,Construction,4,h-h
Logistics,3G,4,h-h
Telecommunications,Logistics,4,h-h
Operations Management,3G,4,h-h
Project Planning,3G,4,h-h
Construction,3G,4,h-h
Contract Management,3G,4,h-h
Negotiation,3G,4,h-h
Telecommunications,3G,8,h-h
Customer Service,Classroom,2,h-h
Customer Service,Classroom Management,2,h-h
Customer Service,Curriculum Design,2,h-h
Customer Service,Curriculum Development,2,h-h
Lesson Planning,Customer Service,2,h-h
Staff Development,Customer Service,4,h-h
Educational Leadership,Customer Service,2,h-h
Educational Technology,Customer Service,2,h-h
Elementary Education,Customer Service,2,h-h
Teacher Training,Customer Service,2,h-h
Tutoring,Customer Service,4,h-h
Event Planning,Classroom,4,h-h
Event Planning,Classroom Management,2,h-h
Event Planning,Curriculum Design,4,h-h
Event Planning,Curriculum Development,4,h-h
Lesson Planning,Event Planning,2,h-h
Staff Development,Event Planning,6,h-h
Event Planning,Educational Leadership,2,h-h
Event Planning,Educational Technology,2,h-h
Event Planning,Elementary Education,2,h-h
Teacher Training,Event Planning,2,h-h
Tutoring,Event Planning,4,h-h
Community Outreach,Classroom,6,h-h
Fundraising,Classroom,2,h-h
Nonprofits,Classroom,6,h-h
Community Outreach,Classroom Management,2,h-h
Fundraising,Classroom Management,2,h-h
Nonprofits,Classroom Management,2,h-h
Curriculum Design,Community Outreach,6,h-h
Curriculum Development,Community Outreach,6,h-h
Lesson Planning,Community Outreach,2,h-h
Staff Development,Community Outreach,2,h-h
Educational Leadership,Community Outreach,6,h-h
Educational Technology,Community Outreach,6,h-h
Elementary Education,Community Outreach,2,h-h
Teacher Training,Community Outreach,6,h-h
Tutoring,Community Outreach,8,h-h
Fundraising,Curriculum Design,2,h-h
Fundraising,Curriculum Development,2,h-h
Lesson Planning,Fundraising,2,h-h
Nonprofits,Lesson Planning,2,h-h
Staff Development,Fundraising,4,h-h
Staff Development,Nonprofits,4,h-h
Fundraising,Educational Leadership,2,h-h
Fundraising,Educational Technology,2,h-h
Fundraising,Elementary Education,2,h-h
Teacher Training,Fundraising,2,h-h
Tutoring,Fundraising,4,h-h
Nonprofits,Coaching,10,h-h
Nonprofits,Educational Leadership,6,h-h
Nonprofits,Educational Technology,6,h-h
Nonprofits,Elementary Education,2,h-h
Teacher Training,Nonprofits,6,h-h
Tutoring,Nonprofits,6,h-h
Project Management,Embedded Software,4,h-h
Product Development,C#,4,h-h
Product Development,Embedded Software,4,h-h
Product Development,Machine Learning,14,h-h
Programming,Product Development,6,h-h
Semiconductors,Java,34,h-h
Software Development,Semiconductors,34,h-h
Engineering,C#,4,h-h
R&D,C#,4,h-h
Matlab,C#,12,h-h
Embedded Software,C#,12,h-h
Embedded Systems,C#,12,h-h
Semiconductors,C#,4,h-h
Simulations,C#,10,h-h
Semiconductors,C++,34,h-h
Engineering,Embedded Software,4,h-h
Testing,R&D,12,h-h
R&D,Embedded Software,4,h-h
R&D,Embedded Systems,8,h-h
Semiconductors,R&D,8,h-h
Matlab,Embedded Software,12,h-h
Testing,Machine Learning,4,h-h
Semiconductors,Python,4,h-h
Software Engineering,Semiconductors,6,h-h
Embedded Software,Algorithms,4,h-h
Embedded Systems,Algorithms,8,h-h
Semiconductors,Algorithms,6,h-h
Machine Learning,Embedded Software,4,h-h
Semiconductors,Embedded Software,6,h-h
Simulations,Embedded Software,6,h-h
Machine Learning,Embedded Systems,6,h-h
Semiconductors,Machine Learning,4,h-h
Semiconductors,Programming,4,h-h
Leadership,Economics,2,h-h
Policy Analysis,Leadership,6,h-h
Public Policy,Leadership,4,h-h
Management,Economics,2,h-h
Policy Analysis,Management,4,h-h
Public Policy,Management,2,h-h
Research,Public Policy,4,h-h
Economics,Change Management,2,h-h
Policy Analysis,Change Management,4,h-h
Public Policy,Change Management,2,h-h
Program Management,Economics,2,h-h
Program Management,Policy Analysis,2,h-h
Public Policy,Program Management,2,h-h
Project Management,Economics,2,h-h
Project Management,Policy Analysis,6,h-h
Public Policy,Project Management,2,h-h
Public Policy,Analysis,4,h-h
Economics,Business Development,2,h-h
Policy,Business Development,2,h-h
Policy Analysis,Business Development,2,h-h
Public Policy,Business Development,2,h-h
Government,Business Development,2,h-h
Economics,Business Strategy,2,h-h
Policy Analysis,Business Strategy,4,h-h
Public Policy,Business Strategy,2,h-h
Entrepreneurship,Economics,2,h-h
Policy,Entrepreneurship,4,h-h
Policy Analysis,Entrepreneurship,4,h-h
Public Policy,Entrepreneurship,2,h-h
Government,Entrepreneurship,2,h-h
Management Consulting,Economics,2,h-h
Policy,Management Consulting,6,h-h
Policy Analysis,Management Consulting,4,h-h
Public Policy,Management Consulting,2,h-h
Management Consulting,Government,4,h-h
Strategic Planning,Economics,2,h-h
Strategic Planning,Policy Analysis,6,h-h
Strategic Planning,Public Policy,2,h-h
Strategy,Economics,2,h-h
Strategy,Policy Analysis,4,h-h
Strategy,Public Policy,2,h-h
Project Planning,Economics,2,h-h
Project Planning,Policy Analysis,4,h-h
Public Policy,Project Planning,2,h-h
Policy,Economics,4,h-h
Public Policy,Economics,4,h-h
Government,Economics,2,h-h
Policy Analysis,Policy,8,h-h
Public Policy,Policy,4,h-h
Public Policy,Data Analysis,4,h-h
Government,Data Analysis,2,h-h
Public Policy,Policy Analysis,6,h-h
Policy Analysis,Government,2,h-h
Public Policy,Government,2,h-h
Microsoft Office,Cost Control,6,h-h
Project Control,Microsoft Office,10,h-h
Subcontracting,Microsoft Office,10,h-h
Value Engineering,Microsoft Office,10,h-h
Budgets,AutoCAD,14,h-h
Cost Control,AutoCAD,8,h-h
Project Control,AutoCAD,12,h-h
Subcontracting,AutoCAD,6,h-h
Value Engineering,AutoCAD,8,h-h
Civil Engineering,Budgets,8,h-h
Project Estimation,Budgets,8,h-h
Procurement,MS Project,8,h-h
Facilities Management,Civil Engineering,6,h-h
Facilities Management,Construction Management,6,h-h
MS Project,Contract Negotiation,6,h-h
MS Project,Cost Control,8,h-h
Engineering,Cost Control,10,h-h
Facilities Management,Cost Control,6,h-h
Project Control,MS Project,8,h-h
Project Control,Engineering,16,h-h
Project Control,Facilities Management,6,h-h
Project Estimation,MS Project,6,h-h
Project Estimation,Facilities Management,6,h-h
Subcontracting,MS Project,6,h-h
Subcontracting,Engineering,14,h-h
Subcontracting,Facilities Management,6,h-h
Value Engineering,MS Project,6,h-h
Value Engineering,Engineering,14,h-h
Value Engineering,Facilities Management,6,h-h
MS Project,Facilities Management,6,h-h
Network Design,IT Service Management,4,h-h
Network Engineering,IT Service Management,4,h-h
Routers,IT Service Management,4,h-h
Routing,IT Service Management,4,h-h
Switches,IT Service Management,4,h-h
WAN,IT Service Management,4,h-h
Network Design,ITIL,4,h-h
Network Engineering,ITIL,4,h-h
Routers,ITIL,4,h-h
Routing,ITIL,4,h-h
Switches,ITIL,4,h-h
WAN,ITIL,4,h-h
Servers,Network Design,8,h-h
Windows Server,Network Design,4,h-h
Servers,Network Engineering,6,h-h
Windows Server,Network Engineering,6,h-h
Servers,Routers,8,h-h
Windows Server,Routers,8,h-h
Servers,Routing,4,h-h
Windows Server,Routing,4,h-h
Switches,Servers,6,h-h
Windows Server,Switches,6,h-h
WAN,Servers,6,h-h
Windows Server,WAN,6,h-h
Mergers & Acquisitions,Contract Negotiation,2,h-h
Mergers & Acquisitions,Arbitration,4,h-h
Mergers & Acquisitions,Commercial Litigation,4,h-h
Mergers & Acquisitions,Dispute Resolution,4,h-h
Mergers & Acquisitions,Intellectual Property,4,h-h
Mergers & Acquisitions,International Law,4,h-h
Mergers & Acquisitions,Legal Advice,4,h-h
Mergers & Acquisitions,Legal Research,4,h-h
Mergers & Acquisitions,Legal Writing,4,h-h
Mergers & Acquisitions,Litigation,4,h-h
Mergers & Acquisitions,Competition Law,4,h-h
Mergers & Acquisitions,Employment Law,4,h-h
Mergers & Acquisitions,Joint Ventures,4,h-h
Mergers & Acquisitions,Legal Compliance,2,h-l
Mergers & Acquisitions,Licensing,2,h-h
Trademarks,Mergers & Acquisitions,2,l-h
International Law,Contract Negotiation,4,h-h
Contract Negotiation,Competition Law,2,h-h
Employment Law,Contract Negotiation,2,h-h
Licensing,Contract Negotiation,4,h-h
Trademarks,Contract Negotiation,2,l-h
Licensing,Arbitration,4,h-h
Trademarks,Arbitration,2,l-h
Licensing,Dispute Resolution,2,h-h
Trademarks,Dispute Resolution,2,l-h
Legal Compliance,International Law,2,l-h
Legal Compliance,Competition Law,2,l-h
Legal Compliance,Employment Law,2,l-h
Licensing,Employment Law,2,h-h
Trademarks,Employment Law,2,l-h
Licensing,Legal Compliance,2,h-l
Trademarks,Legal Compliance,2,l-l
Leadership,Construction Management,30,h-h
Digital Marketing,Business Analysis,16,h-h
Marketing Communications,Business Analysis,12,h-h
Construction Management,Business Analysis,12,h-h
Integration,Digital Marketing,16,h-h
Marketing Communications,Integration,12,h-h
Integration,Construction Management,12,h-h
IT Service Management,Business Development,12,h-h
IT Service Management,Business Strategy,12,h-h
Marketing,IT Service Management,12,h-h
Strategy,IT Service Management,14,h-h
IT Service Management,Business Process Improvement,14,h-h
IT Service Management,Digital Marketing,12,h-h
Marketing Communications,IT Service Management,12,h-h
Project Planning,IT Service Management,12,h-h
IT Service Management,Construction,12,h-h
IT Service Management,Construction Management,12,h-h
IT Service Management,Contract Management,12,h-h
Marketing,IT Strategy,12,h-h
IT Strategy,Digital Marketing,12,h-h
Marketing Communications,IT Strategy,12,h-h
Project Planning,IT Strategy,26,h-h
IT Strategy,Construction,12,h-h
IT Strategy,Construction Management,12,h-h
IT Strategy,Contract Management,12,h-h
Program Management,Marketing Communications,12,h-h
Construction Management,Business Development,18,h-h
Construction Management,Business Strategy,12,h-h
Marketing,Business Process Improvement,18,h-h
Marketing,Construction Management,18,h-h
Strategy,Construction Management,18,h-h
Digital Marketing,Business Process Improvement,16,h-h
Marketing Communications,Business Process Improvement,12,h-h
Construction,Business Process Improvement,14,h-h
Construction Management,Business Process Improvement,12,h-h
Contract Management,Business Process Improvement,12,h-h
Construction Management,CRM,12,h-h
Digital Marketing,Construction,12,h-h
Digital Marketing,Construction Management,12,h-h
Digital Marketing,Contract Management,12,h-h
Project Planning,Marketing Communications,16,h-h
Marketing Communications,Construction,12,h-h
Marketing Communications,Construction Management,12,h-h
Marketing Communications,Contract Management,12,h-h
Marketing Management,CRM,18,h-h
Strategic Sourcing,Leadership,6,h-h
Leadership,Global Sourcing,6,h-h
Management,Global Sourcing,6,h-h
Strategic Sourcing,Project Management,4,h-h
Project Management,Global Sourcing,4,h-h
Strategy,Continuous Improvement,6,h-h
Strategy,Manufacturing,12,h-h
Strategy,Materials Management,2,h-h
Strategy,Procurement,8,h-h
Strategy,Purchasing,10,h-h
Strategy,Strategic Sourcing,4,h-h
Supply Management,Strategy,4,h-h
Strategy,Global Sourcing,4,h-h
Materials Management,Continuous Improvement,14,h-h
SAP,Continuous Improvement,12,h-h
Strategic Sourcing,Continuous Improvement,10,h-h
Supply Management,Continuous Improvement,10,h-h
Contract Negotiation,Continuous Improvement,2,h-h
Global Sourcing,Continuous Improvement,2,h-h
Logistics,Cross-functional Team Leadership,18,h-h
Materials Management,Cross-functional Team Leadership,12,h-h
Procurement,Cross-functional Team Leadership,18,h-h
Purchasing,Cross-functional Team Leadership,22,h-h
SAP,Cross-functional Team Leadership,16,h-h
Strategic Sourcing,Cross-functional Team Leadership,14,h-h
Supply Chain,Cross-functional Team Leadership,28,h-h
Supply Chain Management,Cross-functional Team Leadership,24,h-h
Supply Management,Cross-functional Team Leadership,14,h-h
Cross-functional Team Leadership,Contract Management,2,h-h
Global Sourcing,Cross-functional Team Leadership,6,h-h
SAP,Logistics,16,h-h
Logistics,Global Sourcing,2,h-h
Materials Management,Manufacturing,12,h-h
SAP,Manufacturing,14,h-h
Manufacturing,Global Sourcing,6,h-h
Strategic Sourcing,Materials Management,12,h-h
Materials Management,Global Sourcing,4,h-h
SAP,Procurement,14,h-h
Procurement,Global Sourcing,6,h-h
SAP,Purchasing,12,h-h
Purchasing,Global Sourcing,6,h-h
Strategic Sourcing,SAP,10,h-h
Supply Chain,SAP,14,h-h
Supply Chain Management,SAP,16,h-h
Supply Management,SAP,10,h-h
SAP,Contract Management,4,h-h
SAP,Contract Negotiation,4,h-h
SAP,Global Sourcing,2,h-h
Strategic Sourcing,Contract Management,2,h-h
Strategic Sourcing,Global Sourcing,6,h-h
Supply Chain,Global Sourcing,6,h-h
Supply Chain Management,Global Sourcing,6,h-h
Supply Management,Global Sourcing,6,h-h
Global Sourcing,Contract Management,2,h-h
Global Sourcing,Contract Negotiation,6,h-h
Negotiation,Global Sourcing,6,h-h
Microsoft Office,Accident Investigation,6,h-h
Microsoft Office,Behavior Based Safety,6,h-h
Microsoft Office,Construction Safety,10,h-h
Microsoft Office,EHS,6,h-h
Microsoft Office,Emergency Management,8,h-h
Microsoft Office,Hazard Analysis,6,h-h
Microsoft Office,Hazard Identification,6,h-h
Microsoft Office,Industrial Safety,6,h-h
Occupational Health,Microsoft Office,6,h-h
Safety Management Systems,Microsoft Office,6,h-h
Microsoft Office,Hazard Recognition,6,h-h
Microsoft Office,Incident Investigation,6,h-h
Workplace Safety,Microsoft Office,6,h-h
Microsoft Office,Environmental Awareness,10,h-h
Training,Inspection,6,h-h
Training,Accident Investigation,6,h-h
Training,Behavior Based Safety,6,h-h
Training,Construction Safety,8,h-h
Training,EHS,6,h-h
Training,Emergency Management,8,h-h
Training,Hazard Analysis,6,h-h
Training,Hazard Identification,6,h-h
Training,Industrial Safety,6,h-h
Training,Occupational Health,6,h-h
Training,Safety Management Systems,6,h-h
Training,Hazard Recognition,6,h-h
Training,Incident Investigation,6,h-h
Workplace Safety,Training,6,h-h
Training,Environmental Awareness,6,h-h
Training,First Aid,6,h-h
Training,Supervisory Skills,8,h-h
Inspection,Emergency Management,8,h-h
Inspection,Environmental Awareness,6,h-h
Inspection,First Aid,6,h-h
Emergency Management,Accident Investigation,8,h-h
Environmental Awareness,Accident Investigation,6,h-h
First Aid,Accident Investigation,6,h-h
Supervisory Skills,Accident Investigation,6,h-h
Emergency Management,Behavior Based Safety,8,h-h
Environmental Awareness,Behavior Based Safety,6,h-h
First Aid,Behavior Based Safety,6,h-h
Supervisory Skills,Behavior Based Safety,6,h-h
Emergency Management,Construction Safety,8,h-h
Environmental Awareness,Construction Safety,6,h-h
First Aid,Construction Safety,6,h-h
Supervisory Skills,Construction Safety,8,h-h
Emergency Management,EHS,8,h-h
Environmental Awareness,EHS,6,h-h
First Aid,EHS,6,h-h
Supervisory Skills,EHS,6,h-h
Hazard Analysis,Emergency Management,8,h-h
Hazard Identification,Emergency Management,8,h-h
Industrial Safety,Emergency Management,8,h-h
Occupational Health,Emergency Management,8,h-h
Risk Assessment,Emergency Management,12,h-h
Safety Management Systems,Emergency Management,8,h-h
Hazard Recognition,Emergency Management,6,h-h
Incident Investigation,Emergency Management,6,h-h
Workplace Safety,Emergency Management,6,h-h
Environmental Awareness,Emergency Management,6,h-h
First Aid,Emergency Management,6,h-h
Supervisory Skills,Emergency Management,6,h-h
Hazard Analysis,Environmental Awareness,6,h-h
Hazard Analysis,First Aid,6,h-h
Supervisory Skills,Hazard Analysis,6,h-h
Hazard Identification,Environmental Awareness,6,h-h
Hazard Identification,First Aid,6,h-h
Supervisory Skills,Hazard Identification,6,h-h
Industrial Safety,Environmental Awareness,6,h-h
Industrial Safety,First Aid,6,h-h
Supervisory Skills,Industrial Safety,6,h-h
Occupational Health,Environmental Awareness,6,h-h
Occupational Health,First Aid,6,h-h
Supervisory Skills,Occupational Health,6,h-h
Risk Assessment,Environmental Awareness,6,h-h
Risk Assessment,First Aid,6,h-h
Supervisory Skills,Risk Assessment,6,h-h
Safety Management Systems,Environmental Awareness,6,h-h
Safety Management Systems,First Aid,6,h-h
Supervisory Skills,Safety Management Systems,6,h-h
Hazard Recognition,Environmental Awareness,6,h-h
Hazard Recognition,First Aid,6,h-h
Supervisory Skills,Hazard Recognition,6,h-h
Incident Investigation,Environmental Awareness,6,h-h
Incident Investigation,First Aid,6,h-h
Supervisory Skills,Incident Investigation,6,h-h
Workplace Safety,Environmental Awareness,6,h-h
Workplace Safety,First Aid,6,h-h
Workplace Safety,Supervisory Skills,6,h-h
First Aid,Environmental Awareness,6,h-h
Supervisory Skills,Environmental Awareness,6,h-h
Supervisory Skills,First Aid,6,h-h
Film,Feature Films,2,h-h
Film,Commercials,2,h-l
MEL,Film,2,l-h
Houdini,Film,2,l-h
Special Effects,Film,2,l-h
Film,Dynamics,2,h-l
Realflow,Film,2,l-h
Technical Direction,Film,2,l-h
VFX Supervision,Film,2,l-h
Feature Films,3D,2,h-h
Commercials,3D,2,l-h
MEL,3D,2,l-h
Houdini,3D,2,l-h
Special Effects,3D,2,l-h
Dynamics,3D,2,l-h
Realflow,3D,2,l-h
Technical Direction,3D,2,l-h
VFX Supervision,3D,2,l-h
Feature Films,Animation,2,h-h
Commercials,Animation,2,l-h
MEL,Animation,2,l-h
Houdini,Animation,2,l-h
Special Effects,Animation,2,l-h
Dynamics,Animation,2,l-h
Realflow,Animation,2,l-h
Technical Direction,Animation,2,l-h
VFX Supervision,Animation,2,l-h
Feature Films,Compositing,2,h-h
Compositing,Commercials,2,h-l
MEL,Compositing,2,l-h
Houdini,Compositing,2,l-h
Special Effects,Compositing,2,l-h
Dynamics,Compositing,2,l-h
Realflow,Compositing,2,l-h
Technical Direction,Compositing,2,l-h
VFX Supervision,Compositing,2,l-h
Feature Films,Computer Animation,2,h-h
Computer Animation,Commercials,2,h-l
MEL,Computer Animation,2,l-h
Houdini,Computer Animation,2,l-h
Special Effects,Computer Animation,2,l-h
Dynamics,Computer Animation,2,l-h
Realflow,Computer Animation,2,l-h
Technical Direction,Computer Animation,2,l-h
VFX Supervision,Computer Animation,2,l-h
Feature Films,Computer Graphics,2,h-h
Computer Graphics,Commercials,2,h-l
MEL,Computer Graphics,2,l-h
Houdini,Computer Graphics,2,l-h
Special Effects,Computer Graphics,2,l-h
Dynamics,Computer Graphics,2,l-h
Realflow,Computer Graphics,2,l-h
Technical Direction,Computer Graphics,2,l-h
VFX Supervision,Computer Graphics,2,l-h
Feature Films,Digital Compositing,2,h-h
Digital Compositing,Commercials,2,h-l
MEL,Digital Compositing,2,l-h
Houdini,Digital Compositing,2,l-h
Special Effects,Digital Compositing,2,l-h
Dynamics,Digital Compositing,2,l-h
Realflow,Digital Compositing,2,l-h
Technical Direction,Digital Compositing,2,l-h
VFX Supervision,Digital Compositing,2,l-h
Maya,Feature Films,2,h-h
Maya,Commercials,2,h-l
Maya,MEL,2,h-l
Maya,Houdini,2,h-l
Special Effects,Maya,2,l-h
Maya,Dynamics,2,h-l
Realflow,Maya,2,l-h
Technical Direction,Maya,2,l-h
VFX Supervision,Maya,2,l-h
Modeling,Feature Films,2,h-h
Modeling,Commercials,2,h-l
Modeling,MEL,2,h-l
Modeling,Houdini,2,h-l
Special Effects,Modeling,2,l-h
Modeling,Dynamics,2,h-l
Realflow,Modeling,2,l-h
Technical Direction,Modeling,2,l-h
VFX Supervision,Modeling,2,l-h
Nuke,Feature Films,2,h-h
Nuke,Commercials,2,h-l
Nuke,MEL,2,h-l
Nuke,Houdini,2,h-l
Special Effects,Nuke,2,l-h
Nuke,Dynamics,2,h-l
Realflow,Nuke,2,l-h
Technical Direction,Nuke,2,l-h
VFX Supervision,Nuke,2,l-h
Visual Effects,Feature Films,2,h-h
Visual Effects,Commercials,2,h-l
Visual Effects,MEL,2,h-l
Visual Effects,Houdini,2,h-l
Visual Effects,Special Effects,2,h-l
Visual Effects,Dynamics,2,h-l
Visual Effects,Realflow,2,h-l
Visual Effects,Technical Direction,2,h-l
Visual Effects,VFX Supervision,2,h-l
Feature Films,Commercials,2,h-l
MEL,Feature Films,2,l-h
Houdini,Feature Films,2,l-h
Special Effects,Feature Films,2,l-h
Feature Films,Dynamics,2,h-l
Realflow,Feature Films,2,l-h
Technical Direction,Feature Films,2,l-h
VFX Supervision,Feature Films,2,l-h
MEL,Commercials,2,l-l
Houdini,Commercials,2,l-l
Special Effects,Commercials,2,l-l
Dynamics,Commercials,2,l-l
Realflow,Commercials,2,l-l
Technical Direction,Commercials,2,l-l
VFX Supervision,Commercials,2,l-l
MEL,Houdini,2,l-l
Special Effects,MEL,2,l-l
MEL,Dynamics,2,l-l
Realflow,MEL,2,l-l
Technical Direction,MEL,2,l-l
VFX Supervision,MEL,2,l-l
Special Effects,Houdini,2,l-l
Houdini,Dynamics,2,l-l
Realflow,Houdini,2,l-l
Technical Direction,Houdini,2,l-l
VFX Supervision,Houdini,2,l-l
Special Effects,Dynamics,2,l-l
Special Effects,Realflow,2,l-l
Technical Direction,Special Effects,2,l-l
VFX Supervision,Special Effects,2,l-l
Realflow,Dynamics,2,l-l
Technical Direction,Dynamics,2,l-l
VFX Supervision,Dynamics,2,l-l
Technical Direction,Realflow,2,l-l
